unit,page,part,language_name,lang_code,text
MAT/MA123-SolarSystem,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA123-SolarSystem,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA123-SolarSystem,1,3,Albanian,sqi-ALB,"SISTEMI DIELLOR
Tabela më poshtë tregon distancën mesatare të Diellit nga planetet primare në Njësi Astronomike (au).
1 au është afërsisht 150 milionë kilometra
Planeti
Distanca mesatare nga Dielli në au
Mërkuri
0,39
Venusi
0,72
Toka
1,00
Marsi
1,52
Jupiteri
5,20
Saturni
9,28
Urani
19,20
Neptuni
30,05"
MAT/MA123-SolarSystem,1,4,Albanian,sqi-ALB,"Sistemi Diellor  Pyetje 1 / 2
Referohuni ""Sistemit Diellor"" në të djathtë. Përdorni tërhiq dhe lësho për t'ju përgjigjur pyetjeve.
Modelet e mëposhtme tregojnë distancën mesatare ndërmejt tre planeteve. (Planetet dhe modelet nuk janë paraqitur sipas shkallës reale.)
4,38 au
9,62 au
Bazuar në distancën e dhënë cili planet i përket modelit? Tërhiqni tre planetet e sakta në rendin e duhur. Për të ndryshuar një përgjigje, së pari tërhiqni jashtë planetin mëparshëm.
Mërkuri
Venusi
Toka
Marsi
Jupiteri
Saturni
Urani
Neptuni"
MAT/MA123-SolarSystem,1,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA123-SolarSystem,2,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA123-SolarSystem,2,2,Albanian,sqi-ALB,PISA 2022
MAT/MA123-SolarSystem,2,3,Albanian,sqi-ALB,"SISTEMI DIELLOR
Tabela më poshtë tregon distancën mesatare të Diellit nga planetet primare në Njësi Astronomike (au).
1 au është afërsisht 150 milionë kilometra
Planeti
Distanca mesatare nga Dielli në au
Mërkuri
0,39
Venusi
0,72
Toka
1,00
Marsi
1,52
Jupiteri
5,20
Saturni
9,28
Urani
19,20
Neptuni
30,05"
MAT/MA123-SolarSystem,2,4,Albanian,sqi-ALB,"Sistemi Diellor  Pyetje 2 / 2
Referohuni ""Sistemit Diellor"" në të djathtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Mesatarisht, afërisisht sa milionë kilometra gjenden mes Diellit dhe planetit Neptun?
5 milionë km
30 milionë km
180 milionë km
4500 milionë km"
MAT/MA123-SolarSystem,2,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA123-SolarSystem,3,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA123-SolarSystem,3,2,Albanian,sqi-ALB,PISA 2022
MAT/MA123-SolarSystem,3,3,Albanian,sqi-ALB,"SISTEMI DIELLOR
Tabela më poshtë tregon distancën mesatare të Diellit nga planetet primare në Njësi Astronomike (au).
1 au është afërsisht 150 milionë kilometra
Planeti
Distanca mesatare nga Dielli në au
Mërkuri
0,39
Venusi
0,72
Toka
1,00
Marsi
1,52
Jupiteri
5,20
Saturni
9,28
Urani
19,20
Neptuni
30,05"
MAT/MA123-SolarSystem,3,4,Albanian,sqi-ALB,"Sistemi Diellor  Pyetje 2 / 2
Referohuni ""Sistemit Diellor"" në të djathtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Mesatarisht, afërisisht sa milionë kilometra gjenden mes Diellit dhe planetit Neptun?
5 milionë km
30 milionë km
180 milionë km
4500 milionë km"
MAT/MA123-SolarSystem,3,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA123-SolarSystem,1,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA123-SolarSystem,1,2,Arabic,ara-ARE,PISA 2022
MAT/MA123-SolarSystem,1,3,Arabic,ara-ARE,"النظام الشمسي
يوضّح الجدول أدناه متوسط المسافة من الشمس إلى الكواكب الأولية بالوحدات الفلكية (au).
1 وحدة فلكية (au) تساوي تقريبًا 150 مليون كيلومتر.
الكوكب
متوسط المسافة من الشمس بالوحدة الفلكية (au)
عطارد
0.39
الزُهرة
0.72
الأرض
1.00
المريخ
1.52
المُشتري
5.20
زُحَل
9.58
أورانوس
19.20
نبتون
30.05"
MAT/MA123-SolarSystem,1,4,Arabic,ara-ARE,"النظام الشمسي  سؤال 1 / 2
ارجع إلى ""النظام الشمسي"" على الجانب الأيسر. استخدم السحب والإفلات للإجابة عن السؤال.
يوضّح النموذج التالي متوسط المسافات بين ثلاثة كواكب . (الكواكب والنموذج ليسوا مرسومين وفق المقياس)
4‎.38 au
9.6‎2 a‎u‎
استنادًا إلى المسافات المعطاة، ما الكواكب التي تنتمي إلى النموذج؟ اسحب الكواكب الثلاثة الصحيحة بالترتيب الصحيح. ولتغيير الإجابة، اسحب أولًا الكوكب السابق إلى خارج النموذج.
عطارد
الزُهرة
الأرض
المريخ
المُشتري
زُحَل
أورانوس
نبتون"
MAT/MA123-SolarSystem,1,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
