unit,page,part,language_name,lang_code,text
R548-ChickenForum,1,1,Albanian,sqi-ALB,PISA
R548-ChickenForum,1,2,Albanian,sqi-ALB,"Forumi për Shpendët Hyrje
Lexo Hyrjen. Më pas kliko shigjetën TJETËR.
Ti po viziton të afërmit, që sapo janë zhvendosur në një fermë për rritjen e pulave. Ti pyet tezen tënde, “Si mësove të rritësh pulat?”
Ajo thotë, “Biseduam me shumë njerëz që rrisin pula. Dhe ka shumë burime në Internet. Për shembull, ka një forum për Shëndetin e Pulës që pëlqej të kontrolloj. Ishte shumë i dobishëm për mua kohët e fundit kur një prej pulave vrau këmbën. Po të tregoj bisedën që pata”.
Kliko shigjetën TJETËR për të lexuar forumin."
R548-ChickenForum,2,1,Albanian,sqi-ALB,PISA
R548-ChickenForum,2,2,Albanian,sqi-ALB,"www.shëndetiipulës.com/forum/pulat-aspirina
Shëndeti i Pulës
Burimi juaj online për pula të shëndetshme.
Rreth nesh
Forum
Foto
T’iu japësh pulave aspirinë
Ivana_88Fillimi i diskutimit Postuar 28 Tetor 18:12
Përshëndetje të gjithëve! A mundem t’i jap aspirinë pulës time? Ajo është 2 vjeç dhe besoj se ka vrarë këmbën. Nuk shkoj dot tek veterineri deri të Hënën, dhe ai nuk po më përgjigjet në telefon. Pula më duket se ka shumë dhimbje. Dua t’i jap diçka që të ndjehet më mirë derisa të shkoj tek veterineri. Faleminderit për ndihmën.
NadaB79 Postuar 28 Tetor 18:36
Nuk e di nëse aspirina është e sigurtë për pulat ose jo. Gjithmonë flas me veterinerin përpara se t’i jap zogjve barna. Unë di se disa barna që janë të sigurta për njerëzit mund të jenë shumë të rrezikshme për zogjtë.
Monika Postuar 28 Tetor 18:52
I dhashë një aspirinë njërës prej pulave të mia kur ishte vrarë. Nuk pati asnjë problem. Ditën tjetër shkova tek veterineri por ajo ishte bërë më mirë. Mendoj se mund të jetë e rrezikshme nëse i jep shumë, kështu që mos i kalo limitet e dozës! Shpresoj të jetë më mirë!
Ofertat_Shpendët Postuar 28 Tetor 19:07
Përshëndetje! Mos harroni të shihni ofertat e mia super të ulta për të gjitha artikujt për zogjtë. Për momentin po kam një shitje të madhe!
Beni Postuar 28 Tetor 19:15
A mund të më thotë dikush ju lutem sesi ta dalloj nëse një pulë është sëmurë? Faleminderit.
Fredi Postuar 28 Tetor 19:21
Përshëndetje Ivana, Unë jam veteriner, i specializuar për zogjtë. Është mirë t’i japësh pulave të sëmura aspirinë nëse tregojnë shenja se kanë dhimbje. Kur rekomandoj aspirinë për zogjtë, ndjek udhëzimet e botuara në librin Mjekësia Klinike e Shpendëve. Pulat duhet të marrin 5mg aspirinë për çdo kg të peshës trupore. Mund t’ia jepni këtë 3-4 herë në ditë derisa të shkoni tek veterineri. Është shumë e rëndësishme të bëni vizitën tek veterineri. Fat të mbarë!"
R548-ChickenForum,2,3,Albanian,sqi-ALB,"Forumi për Shpendët Pyetje 1 / 7
Referoju Forumi për Shëndetin e Pulave në të djathtë. Kliko një alternativë për t’iu përgjigjur pyetjes.
Çfarë dëshiron të dijë Ivana_88?
Nëse mund t’i japë aspirinë një pule të lënduar.
Sa shpesh mund t’i japë aspirinë një pule të lënduar.
Si të kontaktohet veterineri për një pulë të lënduar.
Nëse mund të përcaktojë nivelin e dhimbjes së pulës së lënduar."
R548-ChickenForum,3,1,Albanian,sqi-ALB,PISA
R548-ChickenForum,3,2,Albanian,sqi-ALB,"www.shëndetiipulës.com/forum/pulat-aspirina
Shëndeti i Pulës
Burimi juaj online për pula të shëndetshme.
Rreth nesh
Forum
Foto
T’iu japësh pulave aspirinë
Ivana_88Fillimi i diskutimit Postuar 28 Tetor 18:12
Përshëndetje të gjithëve! A mundem t’i jap aspirinë pulës time? Ajo është 2 vjeç dhe besoj se ka vrarë këmbën. Nuk shkoj dot tek veterineri deri të Hënën, dhe ai nuk po më përgjigjet në telefon. Pula më duket se ka shumë dhimbje. Dua t’i jap diçka që të ndjehet më mirë derisa të shkoj tek veterineri. Faleminderit për ndihmën.
NadaB79 Postuar 28 Tetor 18:36
Nuk e di nëse aspirina është e sigurtë për pulat ose jo. Gjithmonë flas me veterinerin përpara se t’i jap zogjve barna. Unë di se disa barna që janë të sigurta për njerëzit mund të jenë shumë të rrezikshme për zogjtë.
Monika Postuar 28 Tetor 18:52
I dhashë një aspirinë njërës prej pulave të mia kur ishte vrarë. Nuk pati asnjë problem. Ditën tjetër shkova tek veterineri por ajo ishte bërë më mirë. Mendoj se mund të jetë e rrezikshme nëse i jep shumë, kështu që mos i kalo limitet e dozës! Shpresoj të jetë më mirë!
Ofertat_Shpendët Postuar 28 Tetor 19:07
Përshëndetje! Mos harroni të shihni ofertat e mia super të ulta për të gjitha artikujt për zogjtë. Për momentin po kam një shitje të madhe!
Beni Postuar 28 Tetor 19:15
A mund të më thotë dikush ju lutem sesi ta dalloj nëse një pulë është sëmurë? Faleminderit.
Fredi Postuar 28 Tetor 19:21
Përshëndetje Ivana, Unë jam veteriner, i specializuar për zogjtë. Është mirë t’i japësh pulave të sëmura aspirinë nëse tregojnë shenja se kanë dhimbje. Kur rekomandoj aspirinë për zogjtë, ndjek udhëzimet e botuara në librin Mjekësia Klinike e Shpendëve. Pulat duhet të marrin 5mg aspirinë për çdo kg të peshës trupore. Mund t’ia jepni këtë 3-4 herë në ditë derisa të shkoni tek veterineri. Është shumë e rëndësishme të bëni vizitën tek veterineri. Fat të mbarë!"
R548-ChickenForum,3,3,Albanian,sqi-ALB,"Forumi për Shpendët Pyetje 2 / 7
Referoju Forumi për Shëndetin e Pulave në të djathtë. Kliko një alternativë për t’iu përgjigjur pyetjes.
Pse vendos Ivana_88 të postojë pyetjen e saj në një forum në Internet?
Sepse nuk di si të gjejë një veteriner.
Sepse mendon se problem i pulës nuk është serioz.
Sepse dëshiron të ndihmojë pulën e saj sa më shpejt që të jetë e mundur.
Sepse nuk mund të shkojë tek veterineri."
R548-ChickenForum,4,1,Albanian,sqi-ALB,PISA
R548-ChickenForum,4,2,Albanian,sqi-ALB,"www.shëndetiipulës.com/forum/pulat-aspirina
Shëndeti i Pulës
Burimi juaj online për pula të shëndetshme.
Rreth nesh
Forum
Foto
T’iu japësh pulave aspirinë
Ivana_88Fillimi i diskutimit Postuar 28 Tetor 18:12
Përshëndetje të gjithëve! A mundem t’i jap aspirinë pulës time? Ajo është 2 vjeç dhe besoj se ka vrarë këmbën. Nuk shkoj dot tek veterineri deri të Hënën, dhe ai nuk po më përgjigjet në telefon. Pula më duket se ka shumë dhimbje. Dua t’i jap diçka që të ndjehet më mirë derisa të shkoj tek veterineri. Faleminderit për ndihmën.
NadaB79 Postuar 28 Tetor 18:36
Nuk e di nëse aspirina është e sigurtë për pulat ose jo. Gjithmonë flas me veterinerin përpara se t’i jap zogjve barna. Unë di se disa barna që janë të sigurta për njerëzit mund të jenë shumë të rrezikshme për zogjtë.
Monika Postuar 28 Tetor 18:52
I dhashë një aspirinë njërës prej pulave të mia kur ishte vrarë. Nuk pati asnjë problem. Ditën tjetër shkova tek veterineri por ajo ishte bërë më mirë. Mendoj se mund të jetë e rrezikshme nëse i jep shumë, kështu që mos i kalo limitet e dozës! Shpresoj të jetë më mirë!
Ofertat_Shpendët Postuar 28 Tetor 19:07
Përshëndetje! Mos harroni të shihni ofertat e mia super të ulta për të gjitha artikujt për zogjtë. Për momentin po kam një shitje të madhe!
Beni Postuar 28 Tetor 19:15
A mund të më thotë dikush ju lutem sesi ta dalloj nëse një pulë është sëmurë? Faleminderit.
Fredi Postuar 28 Tetor 19:21
Përshëndetje Ivana, Unë jam veteriner, i specializuar për zogjtë. Është mirë t’i japësh pulave të sëmura aspirinë nëse tregojnë shenja se kanë dhimbje. Kur rekomandoj aspirinë për zogjtë, ndjek udhëzimet e botuara në librin Mjekësia Klinike e Shpendëve. Pulat duhet të marrin 5mg aspirinë për çdo kg të peshës trupore. Mund t’ia jepni këtë 3-4 herë në ditë derisa të shkoni tek veterineri. Është shumë e rëndësishme të bëni vizitën tek veterineri. Fat të mbarë!"
