unit,page,part,language_name,lang_code,text
R557-CowsMilk,1,1,Japanese,jap-JPN,PISA
R557-CowsMilk,1,2,Japanese,jap-JPN,"牛乳 はじめに
下の文章を読んで、 「次へ」ボタンをクリックしてください。
アメリカなど、世界には日常的に牛乳を飲んでいる国があります。
アメリカにあるコーヒーショップに、アナ、クリス、サムの 3 人の生徒が来ています。 その店の店長は最近、「 4 月 5 日以降、当店では牛乳の提供を終了させていただきます。 代わりに、大豆から作った牛乳の代用品をお出しします。」というお知らせを窓に貼り出しました。
3 人は、なぜこのコーヒーショップが牛乳の提供をやめるのかということに興味を持ちました。そこで、アナがスマートフォンを使ってインターネットで「牛乳」と検索しました。    そして 3 人は、最初に表示されたウェブページを見て話し合いました。
「次へ」ボタンをクリックして、一つ目の資料を読んでください。"
R557-CowsMilk,2,1,Japanese,jap-JPN,PISA
R557-CowsMilk,2,2,Japanese,jap-JPN,産直ファーム乳業
R557-CowsMilk,2,3,Japanese,jap-JPN,"牛乳 問 1 / 7
右の「産直ファーム乳業」のウェブページを読んで、 下の問いの答えを一つクリックしてください。
国際乳製品協会 （IDFA） によると、主要な保健の専門家や保健機関が合意している意見はどれですか。
牛乳や乳製品の摂取は肥満につながる。
牛乳は必須のビタミンやミネラルの優れた補給源である。
牛乳はミネラルよりビタミンを多く含んでいる。
牛乳を飲むことは骨粗しょう症の主な原因である。"
R557-CowsMilk,2,4,Japanese,jap-JPN,"www.farmtomarketdairy.com
産直ファーム乳業
会社概要
商品
栄養について
牛乳の栄養価　長所がいっぱい！
産直ファーム乳業の乳製品には、カルシウム、タンパク質、ビタミン D、ビタミン B12、リボフラビン、カリウムなどの極めて重要な栄養素が含まれています。 これらのビタミンやミネラルを含む産直ファーム乳業の乳製品は、健康的な食生活に欠かせない食品です。 産直ファーム乳業の乳製品を毎日摂取することで、体に必要なビタミンやミネラルを確実にとることができます。
産直ファーム乳業の乳製品には痩せやすくする効果があり、健康的な体重の維持に役立ちます。 牛乳は骨の強度と密度を高めます。 さらに循環器系疾患やガンの予防にも効果があります。 コップ 1 杯の牛乳は、ビタミン、ミネラルを豊富に含み、健康増進の成分が豊富に含まれているのです。
カリフォルニア大学アーバイン校で小児科学の臨床准教授を務める医学博士のビル・シアーズ氏によれば、牛乳で多くの重要な栄養素を手軽に摂ることができるそうです。 国際乳製品協会 （IDFA） もこの意見に賛同しています。 さらに IDFA は、保健の専門家や団体の多くもこれに同意していると述べています。
「牛乳には 9 種類の必須栄養素がすべて含まれています。 カルシウムやビタミン D の補給源として秀でているだけでなく、ビタミン A、タンパク質、カリウムの補給源としても優れています。 医師も乳製品を推奨しています。 健康的な食生活における乳製品の役割は、栄養学界と科学界において古くから確立されてきました。 その中には、米国骨粗しょう症財団、公衆衛生局長官、アメリカ国立衛生研究所、全米医師学術評議会をはじめとする、多くの主要な保健機関が含まれています。」
2007 年 9 月 27 日　国際乳製品協会 （IDFA）"
R557-CowsMilk,3,1,Japanese,jap-JPN,PISA
R557-CowsMilk,3,2,Japanese,jap-JPN,産直ファーム乳業
R557-CowsMilk,3,3,Japanese,jap-JPN,"牛乳 問 2 / 7
右の「産直ファーム乳業」のウェブページを読んで、 下の問いの答えを一つクリックしてください。
この文章の主な目的は何ですか。
乳製品の痩せやすくする効果を主張すること
産直ファーム乳業と他の会社の乳製品を比較すること
心臓病に関連するリスクを社会の人々に知らせること
産直ファーム乳業の製品の利用を促すこと"
R557-CowsMilk,3,4,Japanese,jap-JPN,"www.farmtomarketdairy.com
産直ファーム乳業
会社概要
商品
栄養について
牛乳の栄養価　長所がいっぱい！
産直ファーム乳業の乳製品には、カルシウム、タンパク質、ビタミン D、ビタミン B12、リボフラビン、カリウムなどの極めて重要な栄養素が含まれています。 これらのビタミンやミネラルを含む産直ファーム乳業の乳製品は、健康的な食生活に欠かせない食品です。 産直ファーム乳業の乳製品を毎日摂取することで、体に必要なビタミンやミネラルを確実にとることができます。
産直ファーム乳業の乳製品には痩せやすくする効果があり、健康的な体重の維持に役立ちます。 牛乳は骨の強度と密度を高めます。 さらに循環器系疾患やガンの予防にも効果があります。 コップ 1 杯の牛乳は、ビタミン、ミネラルを豊富に含み、健康増進の成分が豊富に含まれているのです。
カリフォルニア大学アーバイン校で小児科学の臨床准教授を務める医学博士のビル・シアーズ氏によれば、牛乳で多くの重要な栄養素を手軽に摂ることができるそうです。 国際乳製品協会 （IDFA） もこの意見に賛同しています。 さらに IDFA は、保健の専門家や団体の多くもこれに同意していると述べています。
「牛乳には 9 種類の必須栄養素がすべて含まれています。 カルシウムやビタミン D の補給源として秀でているだけでなく、ビタミン A、タンパク質、カリウムの補給源としても優れています。 医師も乳製品を推奨しています。 健康的な食生活における乳製品の役割は、栄養学界と科学界において古くから確立されてきました。 その中には、米国骨粗しょう症財団、公衆衛生局長官、アメリカ国立衛生研究所、全米医師学術評議会をはじめとする、多くの主要な保健機関が含まれています。」
2007 年 9 月 27 日　国際乳製品協会 （IDFA）"
