unit,page,part,language_name,lang_code,text
MAT/MA156-Points,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA156-Points,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA156-Points,1,3,Albanian,sqi-ALB,"PIKËT
Titujt e mëposhtëm për skuadrën e basketbollit të Zedlandit janë botuar në gazetën lokale.
KOHA E ZEDLANDIT
Skuadra e Basketbollit Fiton Kampionatin!
Fitoi secilën lojë këtë sezon.
Me një diferencë mesatare fituese prej 19 pikësh për këtë sezon.
Diferenca e fitores është diferenca mes numrit të pikëve të shënuara nga skuadra fituese dhe numrit të pikëve të shënuara nga skuadra humbëse gjatë një loje."
MAT/MA156-Points,1,4,Albanian,sqi-ALB,"Pikët  Pyetje 1 / 1
Referohuni ""Pikëve"" në të djathtë. Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes.
Duke patur parasysh diferencën mesatare të fitores për këtë sezon, a është e mundur që skuadra, faktikisht, të mos ketë fituar kurrë një lojë me 19 pikë?
Po
Jo
Shpjegoni përgjigjen tuaj."
MAT/MA156-Points,1,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA156-Points,1,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA156-Points,1,2,Arabic,ara-ARE,PISA 2022
MAT/MA156-Points,1,3,Arabic,ara-ARE,"النقاط
نشرت الصحيفة المحلية العناوين التالية عن فريق زدلاند لكرة السلة.
زدلاند تايمز
فوز فريق كرة السلة بالبطولة!
فاز في جميع مبارياته لهذا الموسم.
حقق هامش فوز بمتوسط 19 نقطة لهذا الموسم.
هامش الفوز هو الفرق بين عدد النقاط التي سجلها الفريق الفائز وعدد النقاط التي سجلها الفريق الخاسر في مباراة واحدة."
MAT/MA156-Points,1,4,Arabic,ara-ARE,"النقاط  سؤال 1 / 1
ارجع إلى ""النقاط"" على الجانب الأيسر. انقر على أحد الخيارات ثم اطبع شرحًا للإجابة عن السؤال.
بالنظر إلى متوسط هامش الفوز لهذا الموسم، هل يُحتمل أنه لم يسبق للفريق تحقيق الفوز بفارق 19 نقطة في أي مباراة؟
نعم
لا
اشرح إجابتك."
MAT/MA156-Points,1,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
