unit,page,part,language_name,lang_code,text
R551-RapaNui,1,1,Japanese,jpn-JPN,PISA
R551-RapaNui,1,2,Japanese,jpn-JPN,"ラパヌイ島 はじめに
下の文章を読んで、 「次へ」ボタンをクリックしてください。
地元の図書館で来週講演会があります。 講演をするのは、近くの大学の教授です。 彼女は、チリの 3200 キロメートル西にある太平洋のラパヌイ島に関するフィールドワークについて話をします。
あなたは、世界史の授業でその講演を聴きに行くことになりました。 そして講演会に行く前に知識を得るため、ラパヌイ島の歴史を調べるという課題が先生から出されました。
一つ目の資料は、その教授がラパヌイ島に滞在していたときに書いたブログです。
「次へ」ボタンをクリックして、ブログを読んでください。"
R551-RapaNui,2,1,Japanese,jpn-JPN,PISA
R551-RapaNui,2,2,Japanese,jpn-JPN,ブログ
R551-RapaNui,2,3,Japanese,jpn-JPN,"ラパヌイ島 問 1 / 7
右の教授のブログを読んで、 下の問いの答えを一つクリックしてください。
ブログによると、教授がフィールドワークを始めたのはいつですか。
1990 年代
九か月前
一年前
五月の始め"
R551-RapaNui,2,4,Japanese,jpn-JPN,"www.theprofessorblog.com/fieldwork/RapaNui
ある大学教授のブログ
5 月 23 日　午前 11 時 22 分投稿
今朝窓の外を見ると、今では大好きになったラパヌイ島 （地域によってはイースター島として知られている） の景色が目の前に広がります。 草原や低木の緑と青い空、そして遠くには古い死火山がそびえています。
今週でこの島での滞在が終わると思うと、少しさみしい気持ちになります。 私はすでにフィールドワークを終え、間もなく家に帰ります。 今日の午後は丘へ散歩に出て、この 九か月間調査してきたモアイ像とお別れをしようと思います。 これは、その巨大な像の一部を撮った写真です。
今年ずっと私のブログを読んでくださっている方なら、これらのモアイ像はラパヌイ族の人々が数百年前に彫ったものだということを、すでにご存じでしょう。 この素晴らしいモアイ像は、島の東部に一つだけある石切り場で彫られた物です。 中には重さが数十トンにもなる像もありますが、ラパヌイ族の人々はクレーンや重機なしに、これらを石切り場から遠く離れた場所に運んでいたのです。
これらの巨大な像がどのように運ばれたかについては、考古学者の間でも長年知られていませんでした。 このことはずっと謎とされてきましたが、1990 年代に考古学者とラパヌイ島の住人からなるチームが、植物で作ったロープや木のローラー、かつて島にたくさんあった大木から作られた傾斜路でモアイ像を運搬し、立たせることができたということを実演しました。 モアイ像の謎は解けたのです。
しかし、別の謎が残りました。 モアイ像を運ぶために使われた植物や大木はどうなったのでしょう？ 最初に書いたように、今窓の外を見ると草原と低木と数本の小さな木だけで、巨大な像を動かすために使われた物は何も見当たりません。 この興味深い難問については、今後の投稿や講義の中で探っていきたいと思います。 それまでの間に、自分でこの謎について調べたいと思う方もいらっしゃるかもしれません。そんな方には ジャレド・ダイアモンド氏の『文明崩壊』という本をお勧めします。 まずはこちらの、『文明崩壊』の書評を読むとよいでしょう。
旅人_14
5 月 24 日　午後 4 時 31 分
こんにちは先生！ 先生のイースター島のブログを読むのが大好きです。 『文明崩壊』も早速チェックしてみます！
KB_アイランド
5 月 25 日　午前 9 時 7 分
私も先生のイースター島での体験記を読むのが大好きですが、他にも検討するべき説があるようです。 こちらの記事をご覧ください。 www.sciencenews.com/Polynesian_rats_Rapa_Nui"
R551-RapaNui,3,1,Japanese,jpn-JPN,PISA
R551-RapaNui,3,2,Japanese,jpn-JPN,ブログ
R551-RapaNui,3,3,Japanese,jpn-JPN,"ラパヌイ島 問 2 / 7
右の教授のブログを読んで、 下の問いの答えを入力してください。
ブログの最後の段落に、 「...別の謎が残りました」と書かれています。
教授がここで指している謎とは何ですか。"
R551-RapaNui,3,4,Japanese,jpn-JPN,"www.theprofessorblog.com/fieldwork/RapaNui
ある大学教授のブログ
5 月 23 日　午前 11 時 22 分投稿
今朝窓の外を見ると、今では大好きになったラパヌイ島 （地域によってはイースター島として知られている） の景色が目の前に広がります。 草原や低木の緑と青い空、そして遠くには古い死火山がそびえています。
今週でこの島での滞在が終わると思うと、少しさみしい気持ちになります。 私はすでにフィールドワークを終え、間もなく家に帰ります。 今日の午後は丘へ散歩に出て、この 九か月間調査してきたモアイ像とお別れをしようと思います。 これは、その巨大な像の一部を撮った写真です。
今年ずっと私のブログを読んでくださっている方なら、これらのモアイ像はラパヌイ族の人々が数百年前に彫ったものだということを、すでにご存じでしょう。 この素晴らしいモアイ像は、島の東部に一つだけある石切り場で彫られた物です。 中には重さが数十トンにもなる像もありますが、ラパヌイ族の人々はクレーンや重機なしに、これらを石切り場から遠く離れた場所に運んでいたのです。
これらの巨大な像がどのように運ばれたかについては、考古学者の間でも長年知られていませんでした。 このことはずっと謎とされてきましたが、1990 年代に考古学者とラパヌイ島の住人からなるチームが、植物で作ったロープや木のローラー、かつて島にたくさんあった大木から作られた傾斜路でモアイ像を運搬し、立たせることができたということを実演しました。 モアイ像の謎は解けたのです。
しかし、別の謎が残りました。 モアイ像を運ぶために使われた植物や大木はどうなったのでしょう？ 最初に書いたように、今窓の外を見ると草原と低木と数本の小さな木だけで、巨大な像を動かすために使われた物は何も見当たりません。 この興味深い難問については、今後の投稿や講義の中で探っていきたいと思います。 それまでの間に、自分でこの謎について調べたいと思う方もいらっしゃるかもしれません。そんな方には ジャレド・ダイアモンド氏の『文明崩壊』という本をお勧めします。 まずはこちらの、『文明崩壊』の書評を読むとよいでしょう。
旅人_14
5 月 24 日　午後 4 時 31 分
こんにちは先生！ 先生のイースター島のブログを読むのが大好きです。 『文明崩壊』も早速チェックしてみます！
KB_アイランド
5 月 25 日　午前 9 時 7 分
私も先生のイースター島での体験記を読むのが大好きですが、他にも検討するべき説があるようです。 こちらの記事をご覧ください。 www.sciencenews.com/Polynesian_rats_Rapa_Nui"
