unit,page,part,language_name,lang_code,text
MAT/MA118-MovingTruck,1,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA118-MovingTruck,1,2,Albanian,sqi-ALB,PISA 2022
MAT/MA118-MovingTruck,1,3,Albanian,sqi-ALB,"Server Error
404 - File or directory not found.
The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable."
MAT/MA118-MovingTruck,1,4,Albanian,sqi-ALB,"Kamioni i Shpërnguljes  Hyrja
Lexoni hyrjen. Më pas klikoni mbi shigjetën TJETËR
KAMIONI I SHPËRNGULJES
Familja e Marës po shpërngulet.
Ata kanë mundësi të zgjedhin të marrin me qira një nga dy kamionët e shpërnguljes, që kanë përmasa të ndryshme.  Përmasat e hapësirës së brendshme të kamionit janë paraqitur në tabelën më poshtë.  Të gjitha muret dhe dyshemetë e hapësirës së brendshme të kamionit kanë formë drejtkëndore
Përmasat e Kamionit
Gjatësia e Dyshemesë
Gjerësia e Dyshemesë
Lartësia
A
4 metra
2 metra
2 metra
B
6,6 metra
2,3 metra
2,3 metra
Tre kuti me përmasa të ndryshme janë të disponueshme. Përmasat e këtyre kutive janë paraqitur në tabelën më poshtë.
Madhësia e Kutisë
Gjatësia
Gjerësia
Lartësia
E Vogël
0,4 metra
0,3 metra
0,3 metra
E Mesme
0,5 metra
0,5 metra
0,5 metra
E Madhe
0,5 metra
0,5 metra
0,75 metra"
MAT/MA118-MovingTruck,1,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,2,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA118-MovingTruck,2,2,Albanian,sqi-ALB,PISA 2022
MAT/MA118-MovingTruck,2,3,Albanian,sqi-ALB,"KAMIONI I SHPËRNGULJES
Përmasat e Hapsirës së Brendshme
Përmasat e Kamionit
Gjatësia e Dyshemesë
Gjerësia e Dyshemesë
Lartësia
A
4 metra
2 metra
2 metra
Përmasat e Kutisë
Madhësia e Kutisë
Gjatësia
Gjerësia
Lartësia
E Mesme
0,5 metra
0,5 metra
0,5 metra"
MAT/MA118-MovingTruck,2,4,Albanian,sqi-ALB,"Kamioni i Shpërnguljes  Pyetje 1 / 2
Referohuni ""Kamionit të Shpërnguljes"" në të djathtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Familja e Marës vendos të marrë me qira kamionin A.
Cili është numri më i madh i kutive mesatare që mund të vendosen brenda kamionit A?
320
128
26
16"
MAT/MA118-MovingTruck,2,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,3,1,Albanian,sqi-ALB,Makinë llogaritëseclose
MAT/MA118-MovingTruck,3,2,Albanian,sqi-ALB,PISA 2022
MAT/MA118-MovingTruck,3,3,Albanian,sqi-ALB,"KAMIONI I SHPËRNGULJES
Përmasat e Hapsirës së Brendshme
Përmasat e Kamionit
Gjatësia e Dyshemesë
Gjerësia e Dyshemesë
Lartësia
A
4 metra
2 metra
2 metra
Përmasat e Kutisë
Madhësia e Kutisë
Gjatësia
Gjerësia
Lartësia
E Mesme
0,5 metra
0,5 metra
0,5 metra
E Madhe
0,5 metra
0,5 metra
0,75 metra"
MAT/MA118-MovingTruck,3,4,Albanian,sqi-ALB,"Kamioni i Shpërnguljes  Pyetje 2 / 2
Referohuni ""Kamionit të Shpërnguljes"" në të djathtë. Klikoni një alternativë për t'ju përgjigjur pyetjes.
Kompania e cila jep kamionë me qera konfirmoi se kamioni A mund të mbushet vetëm duke përdorur kuti mesatare në mënyrë që e gjithë hapësira në depot e magazinimit të përdoret.
Mara mendon se një kuti mesatare zë 2/3 e hapsirës së një kutie të madhe, kështu që ajo arrin në përfundimin se numri i kutive të mëdha që do të futen në kamionin A është sa 2/3 e kutive të mesme.
Cila nga fjalitë e mëposhtme mbi përfundimin e Marës është e vërtetë?
Ajo ka të drejtë, sepse lartësia e një kutie mesatare është sa 2/3 e lartësisë së një kutie të madhe.
Ajo ka të drejtë, sepse 3 kuti mesatare mund të vendosen gjithmonë në të njejtën hapësirë si 2 kuti të mëdha.
Ajo nuk ka të drejtë, sepse asnjëra nga përmasat e hapësirës së brendshme të kamionit A nuk është shumëfish i 0,75, që është lartësia e një kutie të madhe.
Ajo nuk ka të drejtë, sepse lartësia e një kutie të madhe është 1,5 herë më e madhe se sa ajo e një kutie mesatare."
MAT/MA118-MovingTruck,3,5,Albanian,sqi-ALB,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,1,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA118-MovingTruck,1,2,Arabic,ara-ARE,PISA 2022
MAT/MA118-MovingTruck,1,3,Arabic,ara-ARE,"Server Error
404 - File or directory not found.
The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable."
MAT/MA118-MovingTruck,1,4,Arabic,ara-ARE,"شاحنة النقل  مقدمة
اقرأ المقدمة ثم انقر على زر التالي  .
شاحنة النقل
سوف تنتقل عائلة مريم من منزلهم.
سيقومون باستئجار شاحنة نقل، ويمكنهم الاختيار من بين حجمين مختلفين من الشاحنات. أبعاد مقصورة التخزين الداخلية للشاحنات موضّحة في الجدول أدناه.  جميع جدران وأرضية مقصورة التخزين في الشاحنات مستطيلة الشكل.
حجم الشاحنة
طول الأرضية
عرض الأرضية
الارتفاع
A
4 متر
2 متر
2 متر
B
6.6 متر
2.3 متر
2.3 متر
تتوفر ثلاثة أحجام مختلفة من الصناديق،  كما أن أبعاد هذه الصناديق موضّحة في الجدول أدناه.
حجم الصندوق
الطول
العرض
الارتفاع
صغير
0.4 متر
0.3 متر
0.3 متر
متوسط
0.5 متر
0.5 متر
0.5 متر
كبير
0.5 متر
0.5 متر
0.75 متر"
MAT/MA118-MovingTruck,1,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,2,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA118-MovingTruck,2,2,Arabic,ara-ARE,PISA 2022
MAT/MA118-MovingTruck,2,3,Arabic,ara-ARE,"شاحنة النقل
أبعاد مقصورة التخزين الداخلية
حجم الشاحنة
طول الأرضية
عرض الأرضية
الارتفاع
A
4 متر
2 متر
2 متر
أبعاد الصندوق
حجم الصندوق
الطول
العرض
الارتفاع
متوسط
0.5 متر
0.5 متر
0.5 متر"
MAT/MA118-MovingTruck,2,4,Arabic,ara-ARE,"شاحنة النقل  سؤال 1 / 2
ارجع إلى ""شاحنة النقل"" على الجانب الأيسر. انقر على أحد الخيارات للإجابة عن السؤال.
قررت عائلة مريم استئجار الشاحنة A.
ما أكبر عدد من الصناديق متوسطة الحجم يمكن أن تستوعبها الشاحنة A ؟
320
128
26
16"
MAT/MA118-MovingTruck,2,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,3,1,Arabic,ara-ARE,الآلة الحاسبةclose
MAT/MA118-MovingTruck,3,2,Arabic,ara-ARE,PISA 2022
MAT/MA118-MovingTruck,3,3,Arabic,ara-ARE,"شاحنة النقل
أبعاد مقصورة التخزين الداخلية
حجم الشاحنة
طول الأرضية
عرض الأرضية
الارتفاع
A
4 متر
2 متر
2 متر
أبعاد الصندوق
حجم الصندوق
الطول
العرض
الارتفاع
متوسط
0.5 متر
0.5 متر
0.5 متر
كبير
0.5 متر
0.5 متر
0.75 متر"
MAT/MA118-MovingTruck,3,4,Arabic,ara-ARE,"شاحنة النقل  سؤال 2 / 2
ارجع إلى ""شاحنة النقل"" على الجانب الأيسر. انقر على أحد الخيارات للإجابة عن السؤال.
أكدت الشركة التي تؤجّر الشاحنات أنه يمكن ملء الشاحنة A باستخدام الصناديق المتوسطة فقط؛ بحيث يتم استخدام مساحة مقصورة التخزين بالكامل.
تدّعي مريم أن الصندوق المتوسط يشغل 2/3 مساحة الصندوق الكبير، لذلك تستنتج أن عدد الصناديق الكبيرة التي ستملأ الشاحنة A هو 2/3 عدد الصناديق المتوسطة.
أي عبارة من العبارات التالية تعدّ صحيحة حول استنتاج مريم؟
هي مُحقة، لأن ارتفاع الصندوق المتوسط هو 2/3 ارتفاع الصندوق الكبير.
هي مُحقة، لأن 3 صناديق متوسطة يمكن وضعها دائمًا في المساحة نفسها لصندوقين كبيرين.
هي غير مُحقة، لأن جميع أبعاد التخزين الداخلية للشاحنة A  ليست من مضاعفات 0.75  وهو ارتفاع الصندوق الكبير.
هي غير مُحقة، لأن ارتفاع الصندوق الكبير يبلغ 1.5 ضعف ارتفاع الصندوق المتوسط."
MAT/MA118-MovingTruck,3,5,Arabic,ara-ARE,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
.
+/-
="
MAT/MA118-MovingTruck,1,1,Azerbaijani / Azeri,aze-QAZ,Kalkulyatorclose
MAT/MA118-MovingTruck,1,2,Azerbaijani / Azeri,aze-QAZ,PISA 2022
MAT/MA118-MovingTruck,1,3,Azerbaijani / Azeri,aze-QAZ,"Əşya Daşıyan Yük Maşını  Giriş
Girişi oxuyun. Sonra NÖVBƏTİ oxunu klikləyin.
ƏŞYA DAŞIYAN YÜK MAŞINI
Məryəmin ailəsi köçür.
Onlar kirayələmək üçün iki ölçüdə olan əşya daşıyan yük maşınından seçim edə bilərlər. Yük maşınının daxili yükləmə bölməsinin ölçüləri aşağıdakı cədvəldə göstərilmişdir. Yük maşınının yükləmə bölməsinin bütün divarları və döşəməsi düzbucaqlıdır.
Yük maşınının ölçüsü
Döşəmənin Uzunluğu
Döşəmənin Eni
Hündürlük
A
4 metr
2 metr
2 metr
B
6,6 metr
2,3 metr
2,3 metr
Üç müxtəlif ölçülü qutu mövcuddur. Bu qutuların göstəriciləri aşağıdakı cədvəldə göstərilib.
Qutunun Ölçüsü
Uzunluq
En
Hündürlük
Kiçik
0,4 metr
0,3 metr
0,3 metr
Orta
0,5 metr
0,5 metr
0,5 metr
Böyük
0,5 metr
0,5 metr
0,75 metr"
MAT/MA118-MovingTruck,1,4,Azerbaijani / Azeri,aze-QAZ,"Server Error
404 - File or directory not found.
The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable."
MAT/MA118-MovingTruck,1,5,Azerbaijani / Azeri,aze-QAZ,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
,
+/-
="
MAT/MA118-MovingTruck,2,1,Azerbaijani / Azeri,aze-QAZ,Kalkulyatorclose
MAT/MA118-MovingTruck,2,2,Azerbaijani / Azeri,aze-QAZ,PISA 2022
MAT/MA118-MovingTruck,2,3,Azerbaijani / Azeri,aze-QAZ,"Əşya Daşıyan Yük Maşını  Sual   1 / 2
Sağdakı ""Əşya Daşıyan Yük Maşını""-na istinad edin. Suala cavab vermək üçün seçiminizi klikləyin.
Məryəmin ailəsi yük maşını A-nı kirayələməyi qərara alır.
Yük maşını A-ya yerləşə biləcək orta ölçülü qutuların maksimum sayı nə qədərdir?
320
128
26
16"
MAT/MA118-MovingTruck,2,4,Azerbaijani / Azeri,aze-QAZ,"ƏŞYA DAŞIYAN YÜK MAŞINI
Daxili Yükləmə Bölməsinin Ölçüləri
Yük maşınının ölçüsü
Döşəmənin Uzunluğu
Döşəmənin Eni
Hündürlük
A
4 metr
2 metr
2 metr
Qutunun Göstəriciləri
Qutunun Ölçüsü
Uzunluq
En
Hündürlük
Orta
0,5 metr
0,5 metr
0,5 metr"
MAT/MA118-MovingTruck,2,5,Azerbaijani / Azeri,aze-QAZ,"C
(
)
x2
yx
√x
1/x
π
÷
7
8
9
x
4
5
6
–
1
2
3
+
0
,
+/-
="
MAT/MA118-MovingTruck,3,1,Azerbaijani / Azeri,aze-QAZ,Kalkulyatorclose
MAT/MA118-MovingTruck,3,2,Azerbaijani / Azeri,aze-QAZ,PISA 2022
