qid,language,lang_code,question,context,options,gold,answer_type,category,difficulty,rationale,source
q001,Albanian,sqi-ALB,"Nëse Tania vendos të blejë makinën D dhe ta shesë pas tre vitesh në gjendje të shkëlqyer, cila do të jetë afërsisht vlera në zed e makinës?","Çmimi i rishitjes së një makine është sa vlera e çmimit të llogaritur me të cilin mund të rishitet më pas.
Për një makinë që mbetet në gjendet të shkëlqyer, vlera e saj do të ulet me nga 5% çdo vit.
Çmimi i makinës përfshin të gjitha taksat dhe kostot e regjistrimit.
Makina D
Çmimi i Makinës (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Arabic,ara-ARE,إذا قررت تهاني شراء السيارة D  وإعادة بيعها بعد ثلاث سنوات وهي في حالة ممتازة، فما السعر التقريبي لإعادة بيع السيارة بالزد؟,"سعر إعادة البيع هو السعر المُقدّر الذي يمكن بيع السيارة به في وقتٍ لاحق.
بالنسبة للسيارة التي تبقى في حالة ممتازة، ستنخفض قيمتها بنسبة  %5  كل سنة.
يشمل سعر السيارة الضرائب جميعها ورسوم التسجيل.
سيارة  D
سعر السيارة (زد)
10500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Azerbaijani / Azeri,aze-QAZ,"Əgər Turan maşın D-ni almağa və üç il sonra əla vəziyyətdə yenidən satmağa qərar verərsə, maşının zedlə təqribi yenidən satış qiyməti nə qədər olacaq?","Maşının  yenidən satış qiyməti onun daha sonra yenidən satıla biləcəyi təxmini qiymətə bərabərdir.
Əla vəziyyətdə qalan maşının dəyəri hər il 5% azalacaqdır.
Maşının qiymətinə bütün vergilər və qeydiyyat rüsumu da daxildir.
Maşın D
Maşının Qiyməti (zedlə)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Basque,eus-ESP,"Taniak erabakitzen badu D autoa erostea eta hortik hiru urtera saltzea, egoera bikainean, zein izango da autoaren birsalmenta-prezio hurbildua zedetan?","Auto baten birsalmenta-prezioa da aurreragoan saltzean autoak izan dezakeen prezio estimatua.
Egoera bikainean dagoen auto baten birsalmenta-prezioa % 5 jaisten da urtero.
Autoaren prezioan sartuta daude zerga eta matrikulatze-tasa guztiak.
D autoa
Autoaren prezioa (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bokmål,nob-NOR,"Omtrent hvor mye vil bruktprisen av bilen være i zed, hvis Trine bestemmer seg for å kjøpe bil D og selge den i meget god stand etter tre år?","Bilens bruktpris er den beregnede prisen som bilen kan bli solgt for på et senere tidspunkt.
For en bil som er i meget god stand, vil bruktprisen synke med 5 % hvert år.
Bilpris inkluderer alle skatter og avgifter.
Bil D
Bilpris (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bosnian,bos-BIH,"Ako Tanja odluči da kupi automobil D, i preproda ga nakon tri godine u odličnom stanju, koja će biti približna preprodajna cijena automobila u zedima?","Preprodajna cijena automobila je procijenjena cijena za koju se kasnije može preprodati.
Preprodajna cijena automobila koji je i dalje u odličnom stanju se umanjuje za 5% svake godine.
Cijena automobila uključuje sve poreze i troškove registracije.
Automobil D
7
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Bulgarian,bul-BGR,"Ако Таня реши да купи кола Г и я препродаде след 3 години в отлично състояние, каква ще бъде приблизителната препродажна цена на колата в зедове?","Препродажната цена на една кола е приблизителната цена, за която тя може да бъде препродадена след време.
Всяка година препродажната цена на кола в отлично състояние намалява с 5%.
Цената на автомобила включва всички данъци и регистрационни такси.
Кола Г
Цена на автомобил (зеда)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Catalan,cat-ESP,"Si la Tània decideix comprar el cotxe D i revendre'l després de tres anys en excel·lents condicions, quin serà el preu aproximat de revenda del cotxe en zeds?","El preu de revenda d'un cotxe és el preu estimat pel qual es pot tornar a vendre més endavant.
Per un cotxe que es manté en unes excel·lents condicions, el seu preu de revenda disminuirà un 5 % cada any.
El preu del cotxe inclou tots els impostos i les taxes de matriculació.
Cotxe D
Preu del cotxe (zeds)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Chinese,zho-CHN,如果田妮决定购买汽车 D 并于三年后在良好车况下转售，那么这辆汽车的转售价格大约是多少 (zeds)？,"汽车的转售价格是指其以后转售时可以卖出的估计价格。
对于保持良好车况的汽车，其转售价格每年递减 5%。
汽车价格包括所有税款和注册费。
汽车 D
汽车价格 (zeds)
10500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Croatian,hrv-HRV,"Ako Tanja odluči kupiti automobil D i preprodati ga u odličnom stanju nakon tri godine, koja će otprilike biti preprodajna cijena automobila u zedima?","Preprodajna cijena automobila je procjena cijene za koju ga kasnije može preprodati.
Preprodajna cijena automobila koji je još u odličnom stanju svake godine se smanjuje za 5%.
Cijena automobila uključuje sve poreze i troškove registracije
Automobil D
Cijena automobila (u zedima)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Czech,ces-CZE,U auta ve vynikajícím stavu se každý rok sníží jeho prodejní cena o 5 %.,"možností.
Prodejní cena ojetého auta je odhadovaná cena, za kterou by se auto později dalo prodat.
Cena auta zahrnuje všechny daně a registrační poplatky.
Auto D
Cena auta (zedy)
10 500","[""A) Jaká bude přibližná prodejní cena auta (v zedech), pokud se Táňa rozhodne koupit auto D a po třech letech ho ve vynikajícím stavu prodá?"", ""B) 1 575"", ""C) 8 925"", ""D) 9 000""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Danish,dan-DNK,"Hvis Tanja beslutter at købe bil D og videresælge den efter tre år, hvor høj vil den omtrentlige videresalgspris på bilen i zed så være på dette tidspunkt, hvis den fortsat er i rigtig god stand?","En bils videresalgspris er den estimerede pris, den kan videresælges til på et senere tidspunkt.
For en bil, som fortsat er i rigtig god stand, vil videresalgsprisen falde med 5 % om året.
Bilens pris er inklusive alle afgifter og registreringsgebyrer.
Bil D
Bilens pris (i zed)
10.500","[""A) 1.575"", ""B) 8.925"", ""C) 9.000"", ""D) 9.975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Dutch,nld-NLD,"Als Tanja besluit om auto D te kopen en deze na drie jaar in uitstekende staat door te verkopen, wat zal dan ongeveer de doorverkoopprijs van de auto in zed zijn?","De doorverkoopprijs van een auto is de geschatte prijs waarvoor hij later kan worden doorverkocht.
Voor een auto die in uitstekende staat blijft, zal de doorverkoopprijs elk jaar met 5% dalen.
Autoprijs is inclusief alle belastingen en registratiekosten.
Auto D
Autoprijs (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,English,eng-CAN,"If Tania decides to buy car D and resell it after three years in excellent condition, what will be the approximate resale price of the car in zeds?","A car’s resale price is the estimated price for which it can be resold at a later time.
For a car that stays in excellent condition, its value will decrease by 5% each year.
Car price includes all taxes and registration fees.
Car D
Car Price (zeds)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Estonian,est-EST,"Kui Tanja otsustab osta auto D ja müüa selle kolme aasta pärast väga heas seisukorras edasi, siis milliseks kujuneb auto ligikaudne edasimüügihind zedides?","Auto edasimüügihind on arvestuslik hind, millega auto saab tulevikus edasi müüa.
Kui auto püsib väga heas seisukorras, siis tema edasimüügihind väheneb igal aastal 5% võrra.
Auto hind sisaldab kõiki makse ja registreerimistasusid.
Auto D
7
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Finnish,fin-FIN,"Jos Tanja päättäisi ostaa auton D ja myydä sen eteenpäin erinomaisessa kunnossa kolmen vuoden kuluttua, mikä olisi suunnilleen auton jälleenmyyntiarvo zedeinä?","Auton jälleenmyyntiarvo on arvio hinnasta, jolla sen saa aikanaan myytyä eteenpäin.
Erinomaisessa kunnossa pysyvän auton arvo laskee 5 % joka vuosi.
Auton hinta sisältää kaikki verot ja rekisteröintimaksut.
Auto D
Auton hinta (zediä)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,French,fra-FRA,"Si Tania décide d'acheter la voiture D et de la revendre en excellent état trois ans plus tard, quelle sera le prix de revente approximatif de la voiture en zeds ?","Le prix de revente d'une voiture correspond au prix auquel on estime qu'elle pourra être revendue plus tard.
Le prix de revente d'une voiture qui reste en excellent état diminue chaque année de 5 %.
Le prix de la voiture inclut l'ensemble des taxes et des frais d'immatriculation.
Voiture D
Prix de la voiture (zeds)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
