qid,language,question,context,options,gold,answer_type,category,difficulty,rationale,source
q000opinion,English,"
Opinion
","
","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA"
q000fact,English,"
Fact
","
","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA"
q000yes,English,"
Yes
","
","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA"
q000no,English,"
No
","
","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA"
q001,English,"If Tania decides to buy car D and resell it after three years in excellent condition, what will be the approximate resale price of the car in zeds?","A car’s resale price is the estimated price for which it can be resold at a later time.
For a car that stays in excellent condition, its value will decrease by 5% each year.
Car price includes all taxes and registration fees.
Car D
Car Price (zeds)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q002,English,"If this sales trend continues, in what year will the number of DVDs sold be less than 1 million according to the model?","The equation of the line is d = 254 – 22n, where d is the number of DVDs sold (in millions) and n is the number of years after 2008.","[""A) 2015"", ""B) 2018"", ""C) 2020"", ""D) 2022""]",C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
q003,English,What is the greatest number of medium boxes that could fit into truck A?,"Mara’s family decides to rent truck A.
Interior Storage Compartment Dimensions
Truck Size
Length of Floor
Width of Floor
Height
A
4 metres
2 metres
2 metres
| Truck Size | Length of Floor | Width of Floor | Height |
|-----------|----------------|---------------|--------|
| A                | 4 metres            | 2 metres           | 2 metres |
Box Dimensions
Box Size
Length
Width
Height
Medium
0.5 metre
0.5 metre
0.5 metre
| Box Size | Length | Width | Height |
|---------|--------|-------|--------|
| Medium | 0.5 metre | 0.5 metre | 0.5 metre |","[""A) 320"", ""B) 128"", ""C) 26"", ""D) 16""]",B,mc,Math,level 2,8 * 4 * 4 = 128,"PISA 2022, math, Moving Truck"
q004,English,"The company which rents the trucks confirmed that truck A can be filled using only medium boxes so that the entire space in the storage compartment is used.
Mara claims that a medium box takes up 2/3 of the space of a large box, so she concludes that the number of large boxes that will fill truck A is 2/3 the number of medium boxes. 
Which one of the following statements about Mara’s conclusion is true?","Interior Storage Compartment Dimensions
Truck Size
Length of Floor
Width of Floor
Height
A
4 metres
2 metres
2 metres
| Truck Size | Length of Floor | Width of Floor | Height |
|-----------|----------------|---------------|--------|
| A                | 4 metres            | 2 metres           | 2 metres |
Box Dimensions
Box Size
Length
Width
Height
Medium
0.5 metre
0.5 metre
0.5 metre
Large
0.5 metre
0.5 metre
0.75 metre
| Box Size | Length | Width | Height |
|---------|--------|-------|--------|
| Medium | 0.5 metre | 0.5 metre | 0.5 metre |
| Large | 0.5 metre | 0.5 metre | 0.75 metre |","[""A) She is correct, because the height of a medium box is 2/3 the height of a large box."", ""B) She is correct, because 3 medium boxes can always be fit into the same space as 2 large boxes."", ""C) She is not correct, because none of the interior storage dimensions of truck A are multiples of 0.75, which is the height of a large box."", ""D) She is not correct, because the height of a large box is 1.5 times the height of a medium box.""]",C,mc,Math,level 6,,"PISA 2022, math, Moving Truck"
q005,English,"On average, approximately how many million kilometres from the Sun is the planet Neptune?","The table below shows the average distance from the Sun to the primary planets in Astronomical Units (au). 
1 au is approximately 150 million kilometres. 
Planet
Average distance from Sun in au
Mercury
0.39
Earth
1.00
Mars
1.52
Neptune
30.05
| Planet | Average distance from Sun in au | 
|-------|---------------------------------|
| Mercury  | 0.39   |
| Earth       | 1.00   |
| Neptune | 30.05 |","[""A) 5 million km"", ""B) 30 million km"", ""C) 180 million km"", ""D) 4500 million km""]",D,mc,Math,level 2,150 * 30 = 4500,"PISA 2022, math, Solar System"
q006,English,"Given the average margin of victory for the season, is it possible that the team never actually won a game by 19 points?","The following headlines about the Zedland basketball team appeared in the local newspaper.
Basketball Team Wins Championship!
Won every game this season.
Averaged a 19-point margin of victory this season.
Margin of victory is the difference between the number of points scored by the winning team and the number of points scored by the losing team in one game.","[""A) Yes"", ""B) No""]",A,mc,Math,level 5,,"PISA 2022, math, Points"
